"creative_id","name","url","downloaded_time"
"6072690421110","6072690421110_image.jpg","fb/creatives/image/6072690421110_image.jpg","2019-11-20 21:04:54"
"6072690427910","6072690427910_image.jpg","fb/creatives/image/6072690427910_image.jpg","2019-11-20 21:04:52"
"6072690448910","6072690448910_image.jpg","fb/creatives/image/6072690448910_image.jpg","2019-11-20 23:00:12"
"6072690461110","6072690461110_image.jpg","fb/creatives/image/6072690461110_image.jpg","2019-11-20 23:00:12"
"6073587928510","6073587928510_image.jpg","fb/creatives/image/6073587928510_image.jpg","2019-11-20 21:04:51"
"6073588019510","6073588019510_image.jpg","fb/creatives/image/6073588019510_image.jpg","2019-11-20 23:00:11"
"6074547888110","6074547888110_image.jpg","fb/creatives/image/6074547888110_image.jpg","2019-11-20 21:04:50"
"6074605605910","6074605605910_image.jpg","fb/creatives/image/6074605605910_image.jpg","2019-11-20 23:00:09"
"6075404290110","6075404290110_image.jpg","fb/creatives/image/6075404290110_image.jpg","2019-11-20 21:04:49"
"6077849375110","6077849375110_image.jpg","fb/creatives/image/6077849375110_image.jpg","2019-11-20 21:04:46"
"6077849403710","6077849403710_image.jpg","fb/creatives/image/6077849403710_image.jpg","2019-11-20 21:04:45"
"6077849495710","6077849495710_image.jpg","fb/creatives/image/6077849495710_image.jpg","2019-11-20 23:00:08"
"6077849528710","6077849528710_image.jpg","fb/creatives/image/6077849528710_image.jpg","2019-11-20 23:00:07"
"6077886633138","6077886633138_image.jpg","fb/creative/image/6077886633138_image.jpg","2019-11-21 20:46:45"
"6077886636338","6077886636338_image.jpg","fb/creative/image/6077886636338_image.jpg","2019-11-21 20:47:05"
"6077886648738","6077886648738_image.jpg","fb/creative/image/6077886648738_image.jpg","2019-11-21 20:47:03"
"6078091368910","6078091368910_image.jpg","fb/creatives/image/6078091368910_image.jpg","2019-11-20 21:04:44"
"6078091396110","6078091396110_image.jpg","fb/creatives/image/6078091396110_image.jpg","2019-11-20 21:04:43"
"6078091444910","6078091444910_image.jpg","fb/creatives/image/6078091444910_image.jpg","2019-11-20 21:04:42"
